Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
A Bagai (Can),13,12,1,424,92,38.54,674,63,0,4,0,38,5
A Flintoff (Eng),14,10,2,304,78,38,288,106,0,2,2,33,6
A Nehra (India),16,7,3,15,7,3.75,31,48,0,0,0,1,0
A Nel (SA),9,2,0,23,13,11.5,24,96,0,0,0,3,0
A Obanda (Kenya),24,22,1,620,96,29.52,852,73,0,4,1,56,26
A Symonds (Aus),18,17,2,417,87,27.8,505,83,0,4,1,37,7
AA Mulla (Can),6,6,0,81,36,13.5,126,64,0,0,1,8,2
AB de Villiers (SA),30,27,5,1046,84,47.54,1233,85,0,9,0,86,12
AC Botha (Ire),17,16,3,304,47,23.38,386,79,0,0,0,36,3
AC Gilchrist (Aus),10,10,0,322,118,32.2,328,98,1,2,1,32,6
AC Voges (Aus),6,5,1,151,72,37.75,167,90,0,1,0,10,3
AD Mascarenhas (Eng),13,8,1,147,36,21,173,85,0,0,2,11,3
AD Mathews (SL),16,14,1,300,52,23.07,424,71,0,3,1,18,4
AD Poynter (Ire),4,3,1,30,22,15,63,48,0,0,0,2,1
ADS Fletcher (WI),10,10,0,198,54,19.8,272,73,0,2,1,24,4
AG Cremer (Zim),18,10,4,84,31,14,127,66,0,0,0,7,0
AJ Redmond (NZ),5,5,1,124,52,31,210,59,0,1,0,16,0
AJ Strauss (Eng),18,18,1,575,105,33.82,719,80,1,4,2,61,2
AM Samad (Can),8,8,1,246,130,35.14,315,78,1,0,0,25,2
AN Cook (Eng),7,7,0,219,69,31.28,330,66,0,2,0,23,0
AN Kervezee (Neth),6,6,0,164,75,27.33,254,65,0,1,0,18,0
AN Petersen (SA),4,2,0,63,39,31.5,90,70,0,0,0,7,0
AO Suji (Kenya),4,2,0,5,3,2.5,22,23,0,0,0,0,0
AR Cusack (Ire),16,11,3,191,38,23.87,279,68,0,0,2,11,4
AR White (Ire),14,10,1,204,40,22.66,359,57,0,0,0,15,0
AS Faridi (Can),3,2,0,19,16,9.5,31,61,0,0,0,1,0
AS Luseno (Kenya),1,1,0,1,1,1,9,11,0,0,0,0,0
AU Rashid (Eng),4,4,1,60,31,20,54,111,0,0,0,8,0
Abdul Razzaq (Pak),6,5,0,125,35,25,155,81,0,0,0,7,5
Abdur Razzak (Bang),34,24,8,245,33,15.31,364,67,0,0,4,18,6
Aftab Ahmed (Bang),8,8,0,129,61,16.12,163,79,0,1,3,10,2
Afzaal Haider (HK),2,2,1,0,0,0,10,0,0,0,1,0,0
Ahmed Shah (Afgh),1,1,0,2,2,2,10,20,0,0,0,0,0
Ahmed Shehzad (Pak),4,4,0,106,43,26.5,201,53,0,0,0,9,0
Alawi Shukri (UAE),1,1,0,1,1,1,3,33,0,0,0,0,0
Alok Kapali (Bang),10,10,0,206,115,20.6,233,88,1,0,2,20,6
Aman Ali (UAE),1,1,0,0,0,0,2,0,0,0,1,0,0
Amjad Ali (UAE),2,2,0,96,77,48,97,99,0,1,0,16,0
Amjad Javed (UAE),1,1,0,10,10,10,10,100,0,0,0,1,1
Arshad Ali (UAE),2,2,0,47,41,23.5,89,53,0,0,0,5,0
Asghar Stanikzai (Afgh),3,3,0,62,30,20.66,162,38,0,0,0,3,0
B Lee (Aus),26,17,5,134,37,11.16,193,69,0,0,5,9,2
B Zuiderent (Neth),7,7,3,180,64,45,262,69,0,2,2,14,2
BA Parchment (WI),5,5,0,82,48,16.4,153,54,0,0,0,9,1
BAW Mendis (SL),36,18,8,81,15,8.1,118,69,0,0,4,6,0
BB McCullum (NZ),40,38,3,1297,166,37.05,1428,91,2,6,3,120,43
BJ Haddin (Aus),27,25,1,797,109,33.2,948,84,1,6,1,69,17
BP Nash (WI),9,7,3,104,39,26,141,74,0,0,0,11,1
BRM Taylor (Zim),21,21,3,729,118,40.5,895,81,1,6,2,40,14
BSM Warnapura (SL),2,2,0,30,30,15,62,48,0,0,1,4,0
BW Hilfenhaus (Aus),14,7,4,29,16,9.66,63,46,0,0,0,2,0
Bazid Khan (Pak),2,2,0,53,51,26.5,100,53,0,1,0,2,1
C Zhuwawo (Zim),1,1,0,16,16,16,20,80,0,0,0,3,0
CAK Walton (WI),2,2,0,0,0,0,3,0,0,0,2,0,0
CB Mpofu (Zim),13,7,5,3,1,1.5,19,16,0,0,2,0,0
CD Cumming (NZ),1,1,0,0,0,0,6,0,0,0,1,0,0
CH Gayle (WI),29,28,2,1185,135,45.57,1163,102,4,5,3,116,53
CJ Chibhabha (Zim),20,20,0,307,52,15.35,479,64,0,2,4,21,1
CJ Ferguson (Aus),25,22,9,599,71,46.07,704,85,0,5,0,58,0
CJO Smith (Scot),9,8,0,187,59,23.37,276,68,0,1,1,22,2
CK Coventry (Zim),14,13,1,420,194,35,420,100,1,1,2,29,16
